Shop Code,Recency,Frequency,Monetary,Volatility,First_Year,True_Churn,R_Score,F_Score,M_Score,V_Score
Shop 267,44,18,31871.36,4.905233214884891,2023,0,2,4,4,3
Shop 268,14,16,70867.7,5.699389086778071,2023,0,3,4,5,2
Shop 269,41,11,44490.52,7.558879248217825,2023,0,2,3,4,1
Shop 270,13,4,8326.02,6.91613753357456,2023,0,4,1,2,1
Shop 271,12,7,20405.63,7.121695483279887,2023,0,4,2,3,1
Shop 272,2,11,31827.21,9.395579410866995,2023,0,5,3,4,1
Shop 273,13,5,2634.89,3.797037359754347,2023,0,4,1,1,4
Shop 274,6,7,15286.19,5.660710157958864,2023,0,5,2,3,2
Shop 275,16,12,11918.33,3.865339295160021,2023,0,3,3,2,4
Shop 276,55,6,15901.4,7.277575832585094,2023,0,1,2,3,1
Shop 277,36,10,65890.57,8.192048358081461,2023,0,2,3,5,1
Shop 278,13,10,15891.49,4.143039583714581,2023,0,4,3,3,4
Shop 279,469,1,338.29,0.0,2023,1,1,1,1,5
Shop 280,9,26,17266.16,3.1067511291534107,2023,0,4,5,3,5
Shop 281,16,10,18734.64,4.354234395637336,2023,0,3,3,3,4
Shop 282,413,2,3302.69,5.830951894845295,2023,1,1,1,1,2
Shop 283,29,10,23981.66,4.3384399046220175,2023,0,2,3,3,4
Shop 284,5,10,19954.83,5.25900288033744,2023,0,5,3,3,3
Shop 285,22,9,14372.73,4.061998775666901,2023,0,3,2,3,4
Shop 286,29,3,9148.31,7.669638820133105,2024,0,2,1,2,1
Shop 287,43,7,9229.22,3.8729833462074192,2023,0,2,2,2,4
Shop 288,5,46,47040.630000000005,3.332362029239754,2023,0,5,5,4,5
Shop 289,6,13,23889.45,4.707679665141887,2023,0,5,4,3,3
Shop 290,13,11,15756.76,4.615517290945841,2023,0,4,3,3,3
Shop 291,30,11,36695.19,6.54240946712621,2023,0,2,3,4,2
Shop 293,7,3,2863.44,4.20883424647321,2024,1,5,1,1,4
Shop 294,50,3,5003.61,6.691536339372982,2024,0,1,1,1,2
Shop 295,44,9,14842.44,5.800453333727602,2023,0,2,2,3,2
Shop 296,7,21,32168.22,5.2510923371793465,2023,0,5,5,4,3
Shop 297,37,2,2108.45,4.582575694955841,2023,0,2,1,1,3
Shop 298,9,21,84035.71,6.889012738306863,2023,0,4,5,5,1
Shop 299,103,46,127600.48,2.5200813421916983,2023,1,1,5,5,5
Shop 300,30,13,21361.14,5.196242667411338,2023,0,2,4,3,3
Shop 301,92,6,8394.47,5.96703182076315,2023,1,1,2,2,2
Shop 302,7,7,7558.0199999999995,4.16901136437697,2023,0,5,2,2,4
Shop 303,5,22,91952.17,7.950945132671848,2023,0,5,5,5,1
Shop 304,71,6,8804.2,5.894416203995954,2023,1,1,2,2,2
Shop 305,12,11,90579.57,10.285543265212372,2023,0,4,3,5,1
Shop 306,12,7,2095.87,2.5831653454342605,2023,0,4,2,1,5
Shop 307,21,27,45573.89,5.063872135641265,2023,0,3,5,4,3
Shop 308,413,1,2173.83,0.0,2023,0,1,1,1,5
Shop 309,13,13,21430.84,4.610530779680785,2023,1,4,4,3,3
Shop 310,9,7,4901.3,3.6511123801339833,2023,0,4,2,1,4
Shop 311,8,4,32533.990000000005,2.1819578486235627,2023,0,4,1,4,5
Shop 312,7,12,10294.33,5.169328473588569,2023,0,5,3,2,3
Shop 313,251,1,2332.67,0.0,2023,1,1,1,1,5
Shop 314,71,8,13639.99,5.537082392055997,2023,0,1,2,2,2
Shop 315,7,8,7563.74,2.1303320604181994,2023,0,5,2,2,5
Shop 316,44,8,13136.42,5.3635116840341635,2023,0,2,2,2,3
Shop 317,27,23,54775.83,6.359638299782047,2023,0,2,5,5,2
Shop 318,12,27,92356.51,6.685582350018848,2023,0,4,5,5,2
Shop 319,89,21,62472.67,5.723712523233332,2023,1,1,5,5,2
Shop 320,65,5,2857.97,3.2816771162733147,2023,0,1,1,1,5
